risk_class,bucket,sensitivity_type,risk_value
GIRR,EUR,Vega,"[-0.418164, 0.030114, -0.48807, 0.872087, -0.670784, -0.910179, -0.129806, 0.984751, 0.783355, 0.497216]"
GIRR,GBP,Vega,"[0.781585, 0.786893, 0.037717, -0.368142, 0.544025, 0.323323, -0.252685, -0.811067, 0.493579, -0.475079]"
GIRR,JPY,Vega,"[0.873626, -0.518059, -0.754484, 0.662225, -0.693431, -0.641463, 0.198766, 0.749124, -0.607131, -0.379353]"
GIRR,USD,Vega,"[0.55481, 0.943653, 0.001482, -0.712205, -0.972127, -0.540688, -0.736356, 0.355317, -0.756335, 0.01266]"
GIRR,EUR,Vega,"[0.388525, 0.162233, -0.600449, 0.608249, 0.430814, 0.477968, -0.737884, -0.752492, 0.855125, -0.204844]"
GIRR,GBP,Vega,"[-0.398103, -0.022832, 0.325728, 0.911247, -0.427108, 0.849617, -0.950281, 0.110396, 0.26795, -0.788205]"
GIRR,JPY,Vega,"[-0.719321, -0.161771, 0.932464, 0.192085, 0.866046, 0.608722, -0.065237, 0.569527, -0.964326, -0.781712]"
GIRR,USD,Vega,"[0.658857, 0.593634, -0.534719, 0.061539, 0.212032, 0.735478, 0.206214, -0.174857, -0.251632, -0.148236]"
GIRR,EUR,Vega,"[0.303862, 0.734981, -0.092206, -0.504321, -0.526675, 0.492029, 0.633138, -0.789444, -0.866882, 0.188867]"
GIRR,GBP,Vega,"[-0.707654, 0.649328, -0.379331, -0.712256, 0.841941, -0.668937, -0.43056, -0.692773, -0.76902, -0.957704]"
GIRR,JPY,Vega,"[-0.889209, -0.650717, -0.893236, 0.182288, 0.361429, -0.212739, -0.364018, 0.009052, 0.75001, 0.702263]"
GIRR,USD,Vega,"[-0.91305, -0.637003, -0.52651, -0.501225, 0.142465, -0.167475, -0.901492, -0.252772, 0.047506, -0.796656]"
GIRR,EUR,Vega,"[0.666917, -0.896076, 0.849684, -0.801774, 0.68715, 0.805306, 0.959141, 0.604052, 0.558955, 0.284967]"
GIRR,GBP,Vega,"[0.557993, -0.730896, 0.072136, 0.028446, 0.715144, -0.074401, -0.229821, 0.279127, -0.467073, -0.720463]"
GIRR,JPY,Vega,"[-0.044245, -0.166221, -0.53486, -0.264976, -0.267215, -0.345009, -0.241072, 0.371487, -0.406247, 0.897716]"
GIRR,USD,Vega,"[0.832696, -0.038179, -0.343278, 0.07087, 0.697121, 0.305175, 0.608784, 0.065445, 0.265835, -0.423689]"
GIRR,EUR,Vega,"[0.469786, -0.595191, 0.389596, 0.721438, -0.735794, 0.228759, -0.809809, 0.451431, -0.831014, 0.87188]"
GIRR,GBP,Vega,"[-0.725184, 0.91776, 0.601768, 0.187364, 0.565248, 0.59023, 0.892054, -0.493233, 0.180152, -0.809902]"
GIRR,JPY,Vega,"[0.232331, -0.657417, 0.129901, 0.144861, -0.06803, 0.045264, 0.527847, 0.598489, -0.015694, 0.199187]"
GIRR,USD,Vega,"[0.862472, -0.760533, -0.765793, -0.824582, 0.315727, -0.162783, 0.548643, 0.342463, -0.332724, 0.796733]"
GIRR,EUR,Vega,"[0.525064, -0.45893, -0.271616, -0.37112, -0.684777, -0.704433, 0.872255, -0.124192, -0.23336, 0.459371]"
GIRR,GBP,Vega,"[0.105986, 0.87228, 0.560603, -0.041261, -0.247281, 0.973263, 0.43552, 0.902389, -0.763043, 0.701067]"
GIRR,JPY,Vega,"[0.274148, -0.756157, 0.176516, 0.372193, -0.975395, -0.091364, 0.650799, -0.409282, -0.082904, -0.115372]"
GIRR,USD,Vega,"[-0.396145, 0.836884, 0.562588, -0.778823, 0.994069, 0.7584, -0.432183, 0.673793, -0.787161, 0.998209]"
GIRR,EUR,Vega,"[0.331369, 0.30025, -0.819119, 0.794067, -0.942001, -0.518344, -0.713956, 0.553536, -0.603592, 0.821276]"
GIRR,GBP,Vega,"[0.312538, -0.927675, -0.98914, -0.896684, 0.21185, 0.602964, -0.522894, 0.698818, -0.885536, 0.601928]"
GIRR,JPY,Vega,"[0.855591, 0.544217, 0.396242, 0.67596, -0.919697, -0.596436, -0.750153, 0.009062, 0.490376, 0.260024]"
GIRR,USD,Vega,"[0.702262, -0.689574, 0.469242, -0.613917, -0.458482, 0.419809, 0.96041, 0.223087, -0.890999, 0.232618]"
GIRR,EUR,Vega,"[-0.915299, 0.768291, 0.419157, -0.653744, -0.816558, -0.632934, 0.960054, -0.082879, 0.568162, 0.272817]"
GIRR,GBP,Vega,"[0.144826, -0.709739, 0.892049, -0.397315, 0.156034, 0.399552, 0.298466, 0.881189, -0.703122, 0.016705]"
GIRR,JPY,Vega,"[-0.191931, -0.051663, -0.761565, -0.731811, -0.443849, -0.390591, -0.144194, 0.221975, 0.269258, -0.176378]"
GIRR,USD,Vega,"[-0.182434, -0.564743, 0.176612, -0.365918, -0.92788, -0.1632, -0.051735, -0.548814, 0.144916, 0.131544]"
GIRR,EUR,Vega,"[0.404004, 0.295897, 0.304866, -0.367572, 0.574864, 0.098289, -0.137164, 0.252025, -0.278685, 0.025478]"
